O que encontramos está validado?,Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da LAI?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
Sim,Capital,Rio Branco (AC),Rammon,Sim,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/images/ARQUIVOS/principal/LEI-1915_DISPOE_SOBRE_O_ACESSO_A_INF._LF_12.527-2011.pdf,LEI Nº 1.915 DE 25 DE JUNHO DE 2012,,,,,,,,,PASTA,,,,PASTA,
Não,Capital,Fortaleza (CE),Kathleen Feitosa,Não,http://www.ceara.gov.br/wp-content/uploads/2017/01/lei-de-acesso-a-informacao.pdf,Lei nº 15.175/2012,,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Macapá (AP),adalvânio,Sim,https://4fdfdc7ecc7eac3fcdc8af2e4ed6ae07.cdn.bubble.io/f1742907509678x375668694726590140/Lei-de-Acesso-a-Informacao-Municipal-LAI.pdf,LEI Nº 2.265/2017-PMM,,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Maceió (AL),Gustavo Pessôa,Sim,https://cdnpm.dhost.cloud/documentos/DECRETO-MUNICIPAL-8.052-2015-1.pdf,DECRETO 8.052 DE 9 DE ABRIL DE 2015,,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Teresina (PI),Inovação cidadã,Sim,https://esic.teresina.pi.gov.br/doc/Dec.%20M.%2014.605-2014%20Reg.%20LIA.pdf,"DECRETO N° 14.605, DE 12 DE DEZEMBRO DE 2014.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,São Paulo (SP),Kathleen Feitosa,Sim,https://legislacao.prefeitura.sp.gov.br/leis/decreto-53623-de-12-de-dezembro-de-2012,"DECRETO Nº 53.623, DE 12 DE DEZEMBRO DE 2012 - atualização: DECRETO Nº 54.779, DE 22 DE JANEIRO DE 2014",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Palmas (TO),Inovação cidadã,Sim,https://legislativo.palmas.to.gov.br/media/leis/DECRETO%20N%C2%BA%20462-2013%20de%2016-05-2013%2015-22-39.pdf,"DECRETO N° 462, DE 16 DE MAIO DE 2013.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Natal (RN),Inovação cidadã,Sim,https://leideacesso.natal.rn.gov.br//manual/decreto.php,"DECRETO N.º 10.087, DE 11 DE OUTUBRO DE 2013",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Manaus (AM),Inovação cidadã,Sim,https://leismunicipais.com.br/a/am/m/manaus/decreto/2018/415/4157/decreto-n-4157-2018-regulamenta-o-acesso-as-informacoes-no-ambito-do-poder-executivo-do-municipio-de-manaus-e-da-outras-providencias,"DECRETO Nº 4157, DE 20 DE SETEMBRO DE 2018",,,,,,,,,PASTA,,,,PASTA,Dreyf (AM)
Sim,Capital,Salvador (BA),Inovação cidadã,Sim,https://leismunicipais.com.br/a/ba/s/salvador/lei-ordinaria/2013/846/8460/lei-ordinaria-n-8460-2013-regulamenta-o-acesso-a-informacao-previsto-no-inciso-xxxiii-do-art-5-inciso-ii-do-3-do-art-37-e-2-do-art-216-todos-da-constituicao-da-republica-de-acordo-com-o-determinado-no-art-45-da-lei-federal-n-12527-de-18-de-novembro-de-2011,LEI Nº 8460/2013,,,,,,,,,PASTA,,,,PASTA,Dreyf (BA)
Sim,Capital,Curitiba (PR),Gustavo Pessôa,Sim,https://mid.curitiba.pr.gov.br/2023/00405139.pdf,DECRETO N.º 1.370 de 23/ DE AGOSTO DE 2023,,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Boa Vista (RR),Adalvânio,Sim,https://publicacoes.boavista.rr.gov.br/ler/ato-normativo/43,"DECRETO Nº 204/E, DE 22 DE NOVEMBRO DE 2013.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Porto Velho (RO),,Sim,https://sapl.portovelho.ro.leg.br/norma/8889 ,"Decreto nº 14.565, de 23 de junho de 2017",,,,,,,,,PASTA,,,,PASTA,Dreyf (RO)
Sim,Capital,Belém (PA),João Leônidas,Sim,https://sistemas.belem.pa.gov.br/leisedecretos/#/visualizacao/3019,"Decreto Municipal nº 83857, DE 02 DE OUTUBRO DE 2015.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Vitória (ES),Inovação cidadã,Sim,"https://sistemas.vitoria.es.gov.br/atosnormativos/arquivos/2012/L8286.PDF
https://sistemas.vitoria.es.gov.br/atosnormativos/arquivos/2012/D15520.PDF","LEI N 8.286
DECRETO N° 15.520",,Sim,25/09/2025,https://sistemas.vitoria.es.gov.br/sic/lai/?url=pedido,2.025.079.614,09R52-5KPZ3,,,PASTA,,Sim,25/09/2025,PASTA,
Sim,Capital,João Pessoa (PB),João Leônidas,Sim,https://transparencia.joaopessoa.pb.gov.br:8080/leis-download?id=13,"LEI ORDINÁRIA Nº 12.645, DE 25 DE SETEMBRO DE 2013.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Porto Alegre (RS),Inovação cidadã,Sim,https://transparencia.portoalegre.rs.gov.br/sites/default/files/usu_doc/sobre-portal/Legisla%C3%A7%C3%B5es%20relacionadas/decreto_oficial_lei_de_acesso_19_990.pdf,"DECRETO Nº 19.990, DE 23 DE MAIO DE 2018.",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Recife (PE),Inovação cidadã,Sim,"https://transparencia.recife.pe.gov.br/uploads/leis/Lei17866_2013.php
https://transparencia.recife.pe.gov.br/codigos/web/lai/DecretoNo_28527_4_de_janeiro_de_2015_-_Regulamenta%20o%20Acesso.pdf",LEI Nº 17. 866 /2013 e DECRETO Nº 28.527 DE 16 DE JANEIRO DE 2015.,,,,,,,,,PASTA,,,,PASTA,
Não,Capital,Campo Grande (MS),João Leônidas,Não,https://www.cmcampogrande.rn.gov.br/public/admin/globalarq/cria/documento-auxiliar/695e63315a9a8f0b90882f982dfe9816.pdf,PROJETO DE RESOLUÇÃO Nº 004/2025,,Sim,30/09/2025,https://sic.campogrande.ms.gov.br/pedido/SIC2025199,SIC2025199,,Sem opção,20/10/2025,PASTA,eSIC CAMPO GRANDE.pdf,,,PASTA,Dreyf (MS)
Sim,Capital,Cuiabá (MT),Inovação cidadã,Sim,https://www.cuiaba.mt.gov.br/storage/webdisco/2015/07/28/outros/f6efe5f8e686d95b7a7cf7bec1836277.pdf,Lei Municipal 5715 de 27/09/2013,,,,,,,,,PASTA,,,,PASTA,Dreyf (MT)
Sim,Capital,Goiania (GO),adalvânio,Sim,https://www.goiania.go.gov.br/html/gabinete_civil/sileg/dados/legis/2013/lo_20130522_000009262.html,"LEI Nº 9.262, DE 22 DE MAIO DE 2013",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Florianópolis (SC),Inovação cidadã,Sim,https://www.pmf.sc.gov.br/transparencia/PDF/decreto.pdf,"DECRETO Nº 9988, de 15 de maio de 2012.",,,,,,,,,PASTA,,,,PASTA,Dreyf (SC)
Sim,Capital,Rio de Janeiro (RJ),Inovação cidadã,Sim,"https://www.rio.rj.gov.br/dlstatic/10112/4179996/4100619/decreto_n_35606.pdf 
https://transparencia.prefeitura.rio/wp-content/uploads/sites/100/2023/06/Decreto-44745-Lei-de-Acesso-a-Informacao.pdf  
https://transparencia.prefeitura.rio/wp-content/uploads/sites/100/2023/07/Decreto-RIO-no-54.226-2024.pdf","DECRETO Nº 35.606 DE 15 DE MAIO DE 2012, DECRETO RIO Nº 44745 DE 19 DE JULHO DE 2018 e DECRETO RIO Nº 54226 DE 3 DE ABRIL DE 2024",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,São Luís (MA),Inovação cidadã,Sim,https://www.saoluis.ma.gov.br/arquivos/decreto_que_municipal_que_regulamenta_a_lei_federal_12527_18035455.pdf,"DECRETO Nº 47.272, DE 06 DE AGOSTO DE 2015",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Aracaju (SE),Juliana Trevine,Sim,https://transparencia.aracaju.se.gov.br/archives/legislacao//decretos/decreto_5360_portal_transparencia.pdf,"Decreto n.º 5.360, de 22 de junho de 2016",,,,,,,,,PASTA,,,,PASTA,
Sim,Capital,Belo Horizonte (MG),Inovação cidadã,Sim,https://www.cmbh.mg.gov.br/atividade-legislativa/pesquisar-legislacao/decreto/14906/2012,Decreto - 14906/2012,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Rio Grande do Norte,Adalvânio,Sim,"http://adcon.rn.gov.br/ACERVO/gac/DOC/DOC000000000083706.PDF 
http://adcon.rn.gov.br/ACERVO/gac/DOC/DOC000000000084356.PDF","LEI Nº 9.963, DE 27 DE JULHO DE 2015.
DECRETO Nº 25.399, DE 31 DE JULHO DE 2015.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Rondônia,Dreyf,Sim,http://ditel.casacivil.ro.gov.br/COTEL/livros/Files/DEC17145%20-%20COMPILADO.pdf,"DECRETO N° 17.145, DE 1/10/2012.",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Amapá,Adalvânio,Sim,"http://transparencia.ap.gov.br/relatorios/legislacao/2149.pdf 
http://transparencia.ap.gov.br/relatorios/legislacao/D.1956.pdf","LEI Nº 2.149, DE 14 DE MARÇO DE 2017
DECRETO Nº 1956 DE 03 DE MAIO DE 20",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Mato Grosso do Sul,Dreyf,Sim,"https://aacpdappls.net.ms.gov.br/appls/legislacao/secoge/govato.nsf/448b683bce4ca84704256c0b00651e9d/4191b6556aa3302a04257c07006a930f?OpenDocument#:~:text=LEI%20N%C2%BA%204.416%20DE%2010%2F16%2F2013&text=LEI%20N%C2%BA%204.416%2C%20DE%2016,2013%2C%20p%C3%A1ginas%204%20a%207.","LEI Nº 4.416, DE 16 DE OUTUBRO DE 2013.",,,,,,,,,PASTA,,,,PASTA,
Não,Estado,Roraima,João Leônidas,Não,https://api.transparencia.rr.gov.br/storage/legislacoes/cd8dbbef-1f0b-411d-8fde-61e1fa548c03.pdf,"LEI Nº 1.958, DE 9 DE ABRIL DE 2024.",,Sim,30/09/2025,https://falabr.cgu.gov.br/web/manifestacao/criar?tipo=8&subtipoForm=1&state=eyJ0aXBvTG9naW4iOiJQRiIsInJldHVyblVybCI6Ii92LWFwcC9tYW5pZmVzdGFjYW8vY3JpYXI/dGlwbz04JnN1YnRpcG9Gb3JtPTEifQ==&step=1,"02732.2025.000045-48",,CGE - Controladoria-Geral do Estado,21/10/2025,PASTA,https://drive.google.com/file/d/1ZLUMuOvhFE0hNPIwmUj6ZQW0ajoZTDfI/view?usp=drive_link,,,PASTA,
Sim,Estado,Maranhão,Adalvânio,Sim,https://app.stc.ma.gov.br/legisla/consulta/publicacao/3809,"LEI ORDINÁRIA Nº 10.217, DE 23 DE MARÇO DE 2015",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Ceará,Rammon,Sim,"https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/organizacao-tematica/trabalho-administracao-e-servico-publico/item/1976-lei-n-15-175-de-28-06-12-d-o-11-07-12

http://www.ceara.gov.br/wp-content/uploads/2017/01/lei-de-acesso-a-informacao.pdf "," LEI N.º 15.175, DE 28.06.12 (D.O. 11.07.12)",,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Sergipe,Adalvânio,Sim,https://gestao.se.gov.br/uploads/download/filename_midia/943/b0e8c0c108470c74bbf41c9d7cd1da85.pdf,DECRETO Nº 30.947 DE 28 DE DEZEMBRO DE 2017,,,,,,,,,PASTA,,,,PASTA,
Sim,Estado,Acre,Adalvânio,Sim,https://legis.ac.gov.br/detalhar/4622,"DECRETO Nº 7.977, DE 10 DE JULHO DE 2014",,,,,,,,,PASTA,,,,PASTA,
