Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da Lei de Governo Digital?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
Capital,Campo Grande (MS),Inovação cidadã,Sim,https://www.campogrande.ms.gov.br/regulamentacao-da-lei-do-governo-digital/,Decreto Municipal  15627 31/07/2023,,,,,,,,,PASTA,,,,PASTA,Dreyf (MS)
Capital,Cuiabá (MT),Inovação cidadã,Sim,https://www.cuiaba.mt.gov.br/storage/webdisco/2015/07/28/outros/f6efe5f8e686d95b7a7cf7bec1836277.pdf,Lei Municipal 5715 de 27/09/2013,,,,,,,,,PASTA,,,,PASTA,Dreyf (MT)
Capital,Palmas (TO),Inovação cidadã,Sim,https://legislativo.palmas.to.gov.br/media/leis/decreto-2.486-2024-02-06-9-2-2024-16-13-43.pdf,"DECRETO Nº 2.486, DE 6 DE FEVEREIRO DE 2024.",,,,,,,,,PASTA,,,,PASTA,
Capital,Porto Alegre (RS),Rafael Freire,Não,,,https://sicpoa.procempa.com.br/sicpoaweb/?redirect_fragment=%2FconsultaSolicitacoes#/consultaSolicitacoes/visualizaSolicitacao/14611,Sim,1/10/2025,https://sicpoa.procempa.com.br/sicpoaweb/,014611-25-07,,Tema pré-selecionado : Leis,,PASTA,https://drive.google.com/file/d/1R4Dx3crfx7OQOAkNm8gRGBRHuSmdQzAy/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,Recife (PE),Rafael Freire,Não,,,https://transparencia.recife.pe.gov.br/codigos/web/lai/historicoSituacaoProtocolo.php?id=1,Sim,1/10/2025,https://transparencia.recife.pe.gov.br/codigos/web/lai/pedidoInformacaoForm.php,2025014120072010427,9282a774,Controladoria Geral do Município. Tema: Legislação,,PASTA,https://drive.google.com/file/d/1Sr9Tccwo9rs3EgHvykD7S7T2PCErBiU7/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,Rio de Janeiro (RJ),Rafael Freire,Não,,,Problema no servidor,,,https://www.1746.rio/hc/pt-br/requests/2673607,,,,,PASTA,,,,PASTA,
Capital,Salvador (BA),Rafael Freire,Não,,,Problema no servidor,Sim,1/10/2025,https://salvadordigital.salvador.ba.gov.br/esic,2025100203542834,,Não há direcionamento,,PASTA,https://drive.google.com/file/d/1eRH0g_AkRCfSRaqh8MT6O6GOB8YB8_Ig/view?usp=drive_link,,,PASTA,Anderson Soares
Capital,São Luís (MA),Rafael Freire,Sim,https://diariooficial.saoluis.ma.gov.br/uploads/diario_oficial/10001/BHBhmznsULX3jSoQoPm7aPv-WkVnTv8h.pdf,"Nº 60.416, DE 17 DE MAIO DE 2024",,,,,,,,,PASTA,,,,PASTA,
Capital,Teresina (PI),Rafael Freire,Não,,,,,,,,,,,PASTA,,,,PASTA,
Capital,Vitória (ES),Rafael Freire,Sim,https://diariooficial.vitoria.es.gov.br/ExibirArquivo.aspx?qs=nnmrXIDe5L4hR81FZwDXlD95Q%2fWHOCtXgeCw%2fnRIrFMxQA7S5mwuf0RM3mOCPGtiwqKwtsQd8WTWmli6Dukj2fMuVTFKqHr3%2bQXqmYe13EDQ5RvUr%2bPUtKwU1FWKrauL,"n 22.546, 2023-07-14",,,,,,,,,PASTA,,,,PASTA,
