O que encontramos está validado?,Capital / Estado,Nome,Pessoa voluntária,Encontrou regulamentação da LGPD?,"Se sim, link da regulamentação","Se sim, número da regulamentação","Se não, documento do pedido de informação",O pedido de informação foi enviado?,Data do registro do pedido de informação,Link do e-SIC,Número do Protocolo,Código de acesso (se houver),Solicitação direcionada à qual órgão?,Prazo de resposta informado pelo e-sic,Coloque um print da tramitação na nossa pasta,"Deixe o link do seu print aqui, pra gente ver",O pedido de informação foi respondido?,Data da resposta recebida,Deixe uma cópia da resposta na nossa pasta,Observações
,Capital,Rio Branco (AC),Marcio dos Anjos,Sim,http://portalcgm.riobranco.ac.gov.br/lai/wp-content/uploads/2015/02/DECRETO-N%C2%BA-1196-2023-SDTI-Comit%C3%AA-Gestor-de-Implanta%C3%A7%C3%A3o-da-LGBD.pdf,Decreto nº 1.196/2023,,Sim,26/09/2025,,962202500019883,,Prefeitura Rio Branco,20/10/2025,PASTA,,,,PASTA,
Sim,Capital,Distrito Federal (DF),Marcio dos Anjos,Sim,https://dflegis.df.gov.br/ato.php?co_data=58980&p=decreto-45771-de-08-de-maio-de-2024,"Decreto nº 45.771, de 08 de maio de 2024",,Sim,24/09/2025,,LAI-019788/2025,,,14/10/2025,PASTA,,,,PASTA,
,Capital,Macapá (AP),,Sim,https://drive.google.com/file/d/1wtISsZkRZVH2B0unH79nCdrD9XqWAlLn/view,Decreto 815/2022,,,,,,,,,,,,,,
,Capital,São Paulo (SP),Kathleen Feitosa,Sim,https://legislacao.prefeitura.sp.gov.br/leis/decreto-59767-de-15-de-setembro-de-2020,DECRETO Nº 59.767 de 15 de Setembro de 2020,,,,,,,,,PASTA,,,,PASTA,
,Capital,Manaus (AM),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/1302603/2023-06-30/1c4a4ac58853c740dd731c4910b4fc62d7def73a.pdf,"Decreto nº 5.621, de 30 de junho de 2023",,,,,,,,,,,,,,
,Capital,Palmas (TO),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/1721000/2022-06-22/209f12c82f928d7edd7760538f0815a15b26c619.pdf,"DECRETO Nº 2.213, DE 22 DE JUNHO DE 2022.",,,,,,,,,,,,,,
,Capital,Teresina (PI),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2211001/2022-09-15/df698a8389efa677ea09ed2902283cc477419d6c.pdf,"DECRETO Nº 22.918, DE 14 DE SETEMBRO DE 2022. ",,,,,,,,,,,,,,
,Capital,Natal (RN),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2408102/2023-11-10/901a1a08ae2e95989866ef3d3d2d3f2ba1a308a8.pdf,DECRETO N.º 12.942 DE 08 DE NOVEMBRO DE 2023,,,,,,,,,,,,,,
,Capital,Maceió (AL),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2704302/2024-06-14/144d9168dfb1dee647fbdac4117dd054cd923d1d.pdf,"DECRETO Nº. 9.803 MACEIÓ/AL, 13 DE JUNHO DE 2024.",,,,,,,,,,,,,,
,Capital,Salvador (BA),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/2927408/2022-03-29/8550fdd204c5d52a71f8ddc2888a81fe2a58f872.pdf,DECRETO Nº 35.299 de 28 de março de 2022,,,,,,,,,,,,,,
,Capital,Belo Horizonte (MG),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3106200/2024-01-19/2cf0586f900ff293b2128686e31671fb149dbb22.pdf,"DECRETO Nº 18.608, DE 18 DE JANEIRO DE 2024",,,,,,,,,,,,,,
,Capital,Vitória (ES),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3205309/2022-04-07/ef7823157225dcb57d3d48646a24c176a8f141d5.pdf,DECRETO N° 20.628,,,,,,,,,,,,,,
,Capital,Rio de Janeiro (RJ),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/3304557/2024-08-22/2c33f952f347e61512d7cb601028f79bfd32612a.pdf,DECRETO RIO Nº 54984 DE 21 DE AGOSTO DE 2024,,,,,,,,,,,,,,
,Capital,Florianópolis (SC),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/4205407/2023-08-25/1c40ce2ac7419065a51f37fccca31bf5e9318242.pdf,"DECRETO N. 25.497, DE 25 DE AGOSTO DE 2023",,,,,,,,,,,,,,
,Capital,Porto Alegre (RS),Marcio dos Anjos,Sim,"https://querido-diario.nyc3.cdn.digitaloceanspaces.com/4314902/2023-01-10/096557cc6160a52377289c171a916c026880279b.pdf

https://dopaonlineupload.procempa.com.br/dopaonlineupload/4640_ce_392275_1.pdf ","DECRETO Nº 21.838, DE 09 DE JANEIRO DE 2023",,,,,,,,,,,,,,
,Capital,Cuiabá (MT),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/5103403/2021-09-20/1ce72d35a5e46ddaaa580315957b634279367a9a.pdf,DECRETO Nº 8.617 DE 17 DE SETEMBRO DE 2021,,,,,,,,,,,,,,
,Capital,Goiania (GO),Marcio dos Anjos,Sim,https://querido-diario.nyc3.cdn.digitaloceanspaces.com/5208707/2025-07-02/31841be6e122907d7b2a5abe124141eaf6008a41.pdf,"DECRETO Nº 2.793, DE 2025",,,,,,,,,,,,,,
,Capital,Boa Vista (RR),Marcio dos Anjos,Sim,https://queridodiario.ok.org.br/,Decreto Nº 29-E DE 04/04/2024,,,,,,,,,,,,,,
,Capital,Curitiba (PR),Marcio dos Anjos,Sim,https://queridodiario.ok.org.br/,"Decreto Municipal n.º 326, de 17 de fevereiro de 2021",,,,,,,,,,,,,,
,Capital,São Luís (MA),Marcio dos Anjos,Sim,https://queridodiario.ok.org.br/,"DECRETO N.º 60.935, DE 18 DE NOVEMBRO DE 2024",,,,,,,,,,,,,,
,Capital,Porto Velho (RO),adalvânio,Sim,https://sapl.portovelho.ro.leg.br/media/sapl/public/normajuridica/2022/20081/decreto_no_18.310-2022_regulmaneta_lgpd.................................................................._proc._02.00279-2022.pdf,"DECRETO Nº 18.310 , DE 1º DE AGOSTO DE 2022.",,,,,,,,,PASTA,,,,PASTA,Dreyf (RO)
