Arquivo TXT,Caminho TXT,Município (CSV),Decreto (original),Decreto (número extraído),Trecho Encontrado
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Rio Branco (AC),LEI Nº 1.915 DE 25 DE JUNHO DE 2012,1.915,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Macapá (AP),LEI Nº 2.265/2017-PMM,2.265,"MUNICÍPIO DE MACAPÁ
PREFEITURA MUNICIPAL
LEI Nº 2.265/2017-PMM
DISPÕE SOBRE O ACESSO À INFORMAÇÃO,
PREVISTO NO INCISO XXXIII, DO CAPUT DO
ART. 5º, NO INCISO II, DO § 3º DO ART. 37, NO
§ 2º, DO ART. 216, DA CONSTI"
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Maceió (AL),DECRETO 8.052 DE 9 DE ABRIL DE 2015,8.052,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Teresina (PI),"DECRETO N° 14.605, DE 12 DE DEZEMBRO DE 2014.",14.605,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,São Paulo (SP),"DECRETO Nº 53.623, DE 12 DE DEZEMBRO DE 2012 - atualização: DECRETO Nº 54.779, DE 22 DE JANEIRO DE 2014",53.623,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Palmas (TO),"DECRETO N° 462, DE 16 DE MAIO DE 2013.",462,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Natal (RN),"DECRETO N.º 10.087, DE 11 DE OUTUBRO DE 2013",10.087,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Manaus (AM),"DECRETO Nº 4157, DE 20 DE SETEMBRO DE 2018",4157,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Salvador (BA),LEI Nº 8460/2013,8460,❌ Decreto não encontrado no texto
Macapa_LAI,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LAI\capital\dados_extraidos\Macapa_LAI.txt,Curitiba (PR),DECRETO N.º 1.370 de 23/ DE AGOSTO DE 2023,1.370,❌ Decreto não encontrado no texto
