Arquivo TXT,Caminho TXT,Município (CSV),Decreto (original),Decreto (número extraído),Trecho Encontrado
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Campo Grande (MS),Decreto Municipal  15627 31/07/2023,15627,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Cuiabá (MT),Lei Municipal 5715 de 27/09/2013,5715,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Palmas (TO),"DECRETO Nº 2.486, DE 6 DE FEVEREIRO DE 2024.",2.486,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,São Luís (MA),"Nº 60.416, DE 17 DE MAIO DE 2024",60.416,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Vitória (ES),"n 22.546, 2023-07-14",22.546,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Belém (PA),"RESOLUÇÃO N° 101, DE 28 DE NOVEMBRO DE 2023",101,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,São Paulo (SP),DECRETO Nº 61.718 de 18 de Agosto de 2022,61.718,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Goiania (GO),"Decreto nº 14.129, de 29/03/2021",14.129,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Natal (RN),DECRETO N.º 13.224 DE 24 DE OUTUBRO DE 2024,13.224,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Sergipe,DECRETO Nº 1.107 DE 16 DE ABRIL DE 2025,1.107,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Pará,"DECRETO Nº 4.473, DE 13 DE FEVEREIRO DE 2025",4.473,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Minas Gerais,"Decreto nº 48.383, de 18/03/2022",48.383,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Mato Grosso,INSTRUÇÃO NORMATIVA N° 017/2023/SEPLAG,017,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Paraná,Decreto 5512 - 16 de Abril de 2024,5512,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Goiás,"DECRETO Nº 10.058, DE 18 DE MARÇO DE 2022.",10.058,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Amapá,DECRETO Nº 3830 DE 03 DE NOVEMBRO DE 2020,3830,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Alagoas,"LEI Nº 9.272, DE 11 DE JUNHO DE 2024",9.272,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Amazonas,-,-,"ica do Estado de São Paulo e dá providências correlatas.
O GOVERNADOR DO ESTADO DE SÃO PAULO, no uso de suas atribuições legais,

Decreta:

Artigo 1° - Fica instituída, para o período de 2023 a 2026, a Estratégia de Governo Digital, a ser implementada no âmbito da Administração Pública direta e autár"
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Tocantins,Decreto Estadual nº 6757 DE 05 de Março de 2024,6757,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Pernambuco,"DECRETO Nº 56.434, DE 15 DE ABRIL DE 2024.",56.434,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Acre,"DECRETO Nº 11.200, DE 15 DE MARÇO DE 2023",11.200,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Rio de Janeiro,DECRETO Nº 48.011 DE 04 DE ABRIL DE 2022,48.011,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Maranhão,"DECRETO Nº 40.154, DE 14 DE JULHO DE 2025.",40.154,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,São Paulo,"DECRETO N° 67.799, DE 13 DE JULHO DE 2023",67.799,"Assembleia Legislativa do Estado de São Paulo
Ficha informativa
DECRETO N° 67.799, DE 13 DE JULHO DE 2023
Institui a Estratégia de Governo Digital para o período de 2023 a 2026, no âmbito da Administração Pública direta e autárquica do Estado de São Paulo"
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Piauí,"DECRETO Nº 21.979, DE 13 DE ABRIL DE 2023",21.979,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Espírito Santo,"DECRETO Nº 5778-R, DE 24 DE JULHO DE 2024",5778,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Porto Velho (RO),"DECRETO Nº 19.173, DE 21 DE JULHO DE 2023.",19.173,❌ Decreto não encontrado no texto
SaoPaulo_LGD,c:\programas\ProjetosPY\pesquisa-legislacoes-no-QD\LGD\estado\dados_extraidos\SaoPaulo_LGD.txt,Rio Branco (AC),DECRETO Nº 1.714 DE 29 DE ABRIL DE 2025,1.714,❌ Decreto não encontrado no texto
